,,,,North America,,,,,,,,,,,,,,Europe-Africa,,,,,,,,,,,,,,Asia-Pacifc,,,,,,,,,,,,,,Latin America,,,,,,,,,,,,,,
,,,,A,B,C,D,E,F,G,H,I,J,K,L,AVG,,A,B,C,D,E,F,G,H,I,J,K,L,AVG,,A,B,C,D,E,F,G,H,I,J,K,L,AVG,,A,B,C,D,E,F,G,H,I,J,K,L,AVG

Year 10

,Internet--------,Price,,75,75,75,75,,,,,,,,,75,,75,75,75,75,,,,,,,,,75,,75,75,75,75,,,,,,,,,75,,75,75,75,75,,,,,,,,,75,
,,S/Q,,5,5,5,5,,,,,,,,,5,,5,5,5,5,,,,,,,,,5,,5,5,5,5,,,,,,,,,5,,5,5,5,5,,,,,,,,,5,
,,Models,,180,180,180,180,,,,,,,,,180,,180,180,180,180,,,,,,,,,180,,180,180,180,180,,,,,,,,,180,,180,180,180,180,,,,,,,,,180,
,,Shipping,,0,0,0,0,,,,,,,,,0,,0,0,0,0,,,,,,,,,0,,0,0,0,0,,,,,,,,,0,,0,0,0,0,,,,,,,,,0,
,,Advertising,,7000,7000,7000,7000,,,,,,,,,7000,,7000,7000,7000,7000,,,,,,,,,7000,,3500,3500,3500,3500,,,,,,,,,3500,,3500,3500,3500,3500,,,,,,,,,3500,
,,Appeal,,0,0,0,0,,,,,,,,,0,,0,0,0,0,,,,,,,,,0,,0,0,0,0,,,,,,,,,0,,0,0,0,0,,,,,,,,,0,
,,Orders,,68,68,68,68,,,,,,,,,68,,68,68,68,68,,,,,,,,,68,,45,45,45,45,,,,,,,,,45,,45,45,45,45,,,,,,,,,45,
,,Pairs Sold,,68,68,68,68,,,,,,,,,68,,68,68,68,68,,,,,,,,,68,,45,45,45,45,,,,,,,,,45,,45,45,45,45,,,,,,,,,45,
,,% Share,,0.25,0.25,0.25,0.25,,,,,,,,,0.25,,0.25,0.25,0.25,0.25,,,,,,,,,0.25,,0.25,0.25,0.25,0.25,,,,,,,,,0.25,,0.25,0.25,0.25,0.25,,,,,,,,,0.25,


,Wholesale--------,Price,,48,48,48,48,,,,,,,,,48,,48,48,48,48,,,,,,,,,48,,41,41,41,41,,,,,,,,,41,,42,42,42,42,,,,,,,,,42,
,,S/Q,,5,5,5,5,,,,,,,,,5,,5,5,5,5,,,,,,,,,5,,5,5,5,5,,,,,,,,,5,,5,5,5,5,,,,,,,,,5,
,,Models,,200,200,200,200,,,,,,,,,200,,200,200,200,200,,,,,,,,,200,,200,200,200,200,,,,,,,,,200,,200,200,200,200,,,,,,,,,200,
,,Advertising,,7000,7000,7000,7000,,,,,,,,,7000,,7000,7000,7000,7000,,,,,,,,,7000,,3500,3500,3500,3500,,,,,,,,,3500,,3500,3500,3500,3500,,,,,,,,,3500,
,,Rebates,,3,3,3,3,,,,,,,,,3,,3,3,3,3,,,,,,,,,3,,2,2,2,2,,,,,,,,,2,,2,2,2,2,,,,,,,,,2,
,,Retailers,,3000,3000,3000,3000,,,,,,,,,3000,,3000,3000,3000,3000,,,,,,,,,3000,,1500,1500,1500,1500,,,,,,,,,1500,,1500,1500,1500,1500,,,,,,,,,1500,
,,Support,,400,400,400,400,,,,,,,,,400,,400,400,400,400,,,,,,,,,400,,400,400,400,400,,,,,,,,,400,,400,400,400,400,,,,,,,,,400,
,,Delivery,,3,3,3,3,,,,,,,,,3,,3,3,3,3,,,,,,,,,3,,3,3,3,3,,,,,,,,,3,,3,3,3,3,,,,,,,,,3,
,,Appeal,,0,0,0,0,,,,,,,,,0,,0,0,0,0,,,,,,,,,0,,0,0,0,0,,,,,,,,,0,,0,0,0,0,,,,,,,,,0,
,,Demand,,1282,1282,1282,1282,,,,,,,,,1282,,1282,1282,1282,1282,,,,,,,,,1282,,855,855,855,855,,,,,,,,,855,,855,855,855,855,,,,,,,,,855,
,,Gn(StkOut),,0,0,0,0,,,,,,,,,0,,0,0,0,0,,,,,,,,,0,,0,0,0,0,,,,,,,,,0,,0,0,0,0,,,,,,,,,0,
,,Pairs Sold,,1282,1282,1282,1282,,,,,,,,,1282,,1282,1282,1282,1282,,,,,,,,,1282,,855,855,855,855,,,,,,,,,855,,855,855,855,855,,,,,,,,,855,
,,% Share,,0.25,0.25,0.25,0.25,,,,,,,,,0.25,,0.25,0.25,0.25,0.25,,,,,,,,,0.25,,0.25,0.25,0.25,0.25,,,,,,,,,0.25,,0.25,0.25,0.25,0.25,,,,,,,,,0.25,


,P-Label--------,Price,,35,35,35,35,,,,,,,,,740,,35,35,35,35,,,,,,,,,35,,35,35,35,35,,,,,,,,,35,,35,35,35,35,,,,,,,,,35,
,,S/Q,,4,4,4,4,,,,,,,,,740,,4,4,4,4,,,,,,,,,4,,4,4,4,4,,,,,,,,,4,,4,4,4,4,,,,,,,,,4,
,,Offered,,185,185,185,185,,,,,,,,,740,,185,185,185,185,,,,,,,,,185,,185,185,185,185,,,,,,,,,185,,185,185,185,185,,,,,,,,,185,
,,Sold,,185,185,185,185,,,,,,,,,185,,185,185,185,185,,,,,,,,,185,,185,185,185,185,,,,,,,,,185,,185,185,185,185,,,,,,,,,185,
