,,,,A,B,C,D,E,F,G,H,I,J,K,L,AVG


Income Statement-------,,Net Revenues,,278150,301212,355485,290574,,,,,,,,,306355,
,,Cost of Pairs,,157491,159714,178808,157022,,,,,,,,,163259,
,,Warehouse,,17940,19589,20487,17703,,,,,,,,,18930,
,,Marketing,,58257,62403,85028,58686,,,,,,,,,66094,
,,Administrative,,7911,8960,8960,7912,,,,,,,,,8436,
,,Operating Profit,,36551,50546,62202,49251,,,,,,,,,49638,
,,Interest Expense,,10133,7259,7541,6898,,,,,,,,,7958,
,,Income Taxes,,7925,12986,16398,12706,,,,,,,,,12504,
,,Net Profit,,18493,30301,38263,29647,,,,,,,,,29176,
,,Dividends,,,,,1937,,,,,,,,,484,
,,Stock Shares,,10000,9684,9900,9684,,,,,,,,,9817,
,,,,,,,,,,,,,,,,,
Balance Sheet-------------,,Cash On Hand,,2823.5,9977,,2866,,,,,,,,,3917,
,,Current Assets,,84291.5,111474,104560,85296,,,,,,,,,96405,
,,Total Assets,,279491.5,286974,279810,262446,,,,,,,,,277180,
,,Current Liabilities,,31320,30510,34084,18613,,,,,,,,,28632,
,,Long-Term Debt,,74800,58800,46000,46800,,,,,,,,,56600,
,,Beginning Equity,,154876,173201,163178,182152,,,,,,,,,168352,
,,Stock Sale (Purch),,,-5838,-1714,-12833,,,,,,,,,-5096,
,,Earnings Retained,,18495.5,30301,38262,27714,,,,,,,,,28693,
,,Ending Equity,,173371.5,197664,199726,197033,,,,,,,,,191949,
,,,,,,,,,,,,,,,,,
Dividend Data-------------,,Year X Dividend ($),,,,,0.2,,,,,,,,,0.05,
,,No.of Div Increases,,1,,,1,,,,,,,,,0.5,
,,No.of Div Decreases,,1,1,1,1,,,,,,,,,1,
,,,,,,,,,,,,,,,,,
Selected Financial Stats---------------,,,Cost %,0.566,0.53,0.503,0.54,,,,,,,,,0.533,
,,,Whse %,0.064,0.065,0.058,0.061,,,,,,,,,0.062,
,,,Mktng %,0.209,0.207,0.239,0.202,,,,,,,,,0.216,
,,,Admin %,0.028,0.03,0.025,0.027,,,,,,,,,0.028,
,,,OpProf %,0.131,0.168,0.175,0.169,,,,,,,,,0.162,
,,,NetProf %,0.066,0.101,0.108,0.102,,,,,,,,,0.095,
,,,Cur Ratio,2.69,3.65,3.07,4.58,,,,,,,,,3.37,
,,,InvDays,31,59,32,38,,,,,,,,,40,
,,,,,,,,,,,,,,,,,
Credit Rating Data-------,,Interest Coverage,,3.61,6.96,8.25,7.14,,,,,,,,,6.49,
,,Debt Asstes Ratio,,0.34,0.27,0.23,0.2,,,,,,,,,0.26,
